Make,Model,Variant,Ex-Showroom_Price(Rs.),Displacement(cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_Tank_Capacity(litres),Height(mm),Length(mm),Width(mm),Doors,City_Mileage(km/litre),Gears,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Seating_Capacity,Wheelbase(mm),Boot_Space(litres)
Maruti Suzuki,Alto K10,Lxi,377588,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1475,3545,1490,5,14,5,155/65R13,155/65R13,5,2360,177
Maruti Suzuki,Alto K10,Vxi,394036,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1475,3545,1490,5,14,5,155/65R13,155/65R13,5,2360,177
Maruti Suzuki,Alto K10,Lx,360843,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1475,3545,1490,5,19,5,155/65R13,155/65R13,5,2360,177
Maruti Suzuki,Alto K10,Vxi (O),407238,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1460,3620,1475,5,14,5,155/65R13,155/65R13,5,2360,177
Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1475,3545,1490,5,14,5,155/65R13,155/65R13,5,2360,177
Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1475,3545,1490,5,14,5,155/65R13,155/65R13,5,2360,177
Datsun,Go,D,374990,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,14,5,155/70R13,155/70R13,5,2450,265
Datsun,Go,T,468229,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
Datsun,Go,T (O),502492,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
Datsun,Go,A (O),499990,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
Datsun,Go,A,469990,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
Datsun,Go,T Vdc,528464,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
